trial	status	score	hpwl_final	hpwl_ref	hpwl_delta_percent	runtime	runtime_ratio	gain_hr	hpwl_gain_percent	runtime_penalty_pp	legalize_exit_status	metrics_path	improve_random_seed	improve_max_displacement	improve_enable_extra_dpl	global_swap_tradeoff	global_swap_area_weight	global_swap_pin_weight	global_swap_congestion_user_weight	global_swap_sampling_moves	global_swap_normalization_interval	global_swap_profiling_excess	global_swap_budget_multipliers
00e5f258	ok	63331.3	63331.3	63342.0	-0.01689242524706686	7.257	1.0509775524981897	0.01689242524706686	0.01689242524706686	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_00e5f258_b7ebc256522d/metrics.json	39	64 8	1	0.01810046947546126	0.028921419507578427	0.9770320395821682	127.10627144987393	644	175	1.2848157339077013	1.10 1.04
00e9b323	ok	63351.0	63351.0	63342.0	0.014208581983518044	7.908	1.1452570601013758	-0.0726588112976193	-0.014208581983518044	0.05845022931410125	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_00e9b323_fc32ac98cae5/metrics.json	63	512 64	0	0.4474701900550804	0.9329477176969398	1.4004055311531514	39.890678386103076	580	2330	1.037679596701747	1.04
01443388	ok	63313.5	63313.5	63342.0	-0.044993842947807144	7.646	1.1073135409123822	0.03546791848115992	0.044993842947807144	0.00952592446664723	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_01443388_ba2d8daa1f6c/metrics.json	92	64 8	1	0.7879638782256617	1.162391500132498	1.209742165965424	68.17768077485108	917	664	1.6628536065681343	1.04
01e240bc	ok	63298.3	63298.3	63342.0	-0.06899055918663302	7.414	1.0737146994931208	0.06899055918663302	0.06899055918663302	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_01e240bc_5ecae35dac89/metrics.json	36	64 8	1	0.4134507872825557	0.1618995041467673	0.07165197359516012	128.51345016772558	161	160	1.3390890344389024	2.00 1.50 1.20 1.05
026b558d	ok	63317.1	63317.1	63342.0	-0.039310410154402224	7.472	1.0821144098479363	0.039310410154402224	0.039310410154402224	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_026b558d_6640a6fa17ce/metrics.json	31	64 8	1	0.4672648270499813	0.4539185765785132	1.6463852615782264	60.07790928970346	405	1349	1.5256510178424583	omit
02a07313	ok	63313.1	63313.1	63342.0	-0.04562533548041024	7.705	1.115858073859522	0.025009872018847017	0.04562533548041024	0.020615463461563226	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_02a07313_379ef36495cb/metrics.json	54	64 8	1	0.2126943438577812	0.2553128505171013	1.4544093005306724	100.3587595629814	461	190	1.5813044817007764	2.00 1.50 1.20 1.05
031ce89e	ok	63295.0	63295.0	63342.0	-0.07420037258059424	7.401	1.0718320057929036	0.07420037258059424	0.07420037258059424	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_031ce89e_043352b0950f/metrics.json	35	64 8	1	0.25759847538812153	0.1509699962792429	0.3419051229502129	133.1947298295836	178	577	1.1736979919930437	1.50 1.25 1.10 1.04
037c4477	ok	63310.9	63310.9	63342.0	-0.04909854440971006	7.556	1.0942795076031862	0.04909854440971006	0.04909854440971006	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_037c4477_05d6e48828b2/metrics.json	49	64 8	0	0.019209440261751688	0.4649813463575918	1.2903194632966841	50.3672434788307	876	1241	1.0472172224520877	1.10 1.04
03905ee9	ok	63333.1	63333.1	63342.0	-0.014050708850370141	7.522	1.0893555394641563	0.014050708850370141	0.014050708850370141	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_03905ee9_910f96b20423/metrics.json	97	64 8	1	0.4922150861708549	1.1085493714171781	1.1221154774188538	101.30442265242927	830	2330	1.8438506818123004	1.04
03c97408	ok	63298.5	63298.5	63342.0	-0.06867481292033722	7.618	1.103258508327299	0.0644266899269635	0.06867481292033721	0.004248122993373707	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_03c97408_3e01ae2b3c1d/metrics.json	52	64 8	0	0.46434134145465633	0.34491443497038404	0.999936421262076	105.90649646692066	319	1390	1.3144988012001761	1.04
03fa9814	ok	63340.7	63340.7	63342.0	-0.002052350730957201	7.491	1.0848660391020999	0.002052350730957201	0.002052350730957201	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_03fa9814_1122fe98ffff/metrics.json	69	128 16	1	0.2677456672022016	0.7905101421989421	1.1809732345598845	75.5322569884185	125	232	1.5428058637181639	2.00 1.50 1.20 1.05
040da415	ok	63315.5	63315.5	63342.0	-0.04183638028480313	7.539	1.0918175235336711	0.04183638028480313	0.04183638028480313	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/ibex/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_ibex_asap7_trial_040da415_3bbd94f086d5/metrics.json	94	64 8	1	0.6998922835267506	1.0341778711690148	0.9790184272635034	137.6479651556227	906	734	1.7055380391056616	1.10 1.04
