trial	status	score	hpwl_final	hpwl_ref	hpwl_delta_percent	runtime	runtime_ratio	gain_hr	hpwl_gain_percent	runtime_penalty_pp	legalize_exit_status	metrics_path	improve_random_seed	improve_max_displacement	improve_enable_extra_dpl	global_swap_tradeoff	global_swap_area_weight	global_swap_pin_weight	global_swap_congestion_user_weight	global_swap_sampling_moves	global_swap_normalization_interval	global_swap_profiling_excess	global_swap_budget_multipliers
0006b5ba	ok	134656.2	134656.2	134573.0	0.0618251803853757	22.248	0.9675146771037182	-0.061825180385375704	-0.061825180385375704	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_0006b5ba_d9e34a257f7a/metrics.json	73	128 16	0	0.9942142289145114	1.3816130507765736	1.3740026882108747	135.29760576062932	1053	2007	1.1242459971842074	1.75 1.35 1.15 1.05
00cb4da2	ok	133792.4	133792.4	134573.0	-0.580056920779061	30.203	1.313459447706023	0.3139034405420907	0.580056920779061	0.26615348023697033	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_00cb4da2_915d2206d054/metrics.json	98	64 8	0	0.5261856155982224	1.9252756512453701	1.5890735141981203	135.4241128273067	1028	3470	1.2063020048815614	2.00 1.50 1.20 1.05
00d3a413	ok	133940.8	133940.8	134573.0	-0.4697821999955501	31.913	1.3878234398782343	0.11606389717394777	0.4697821999955501	0.3537183028216023	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_00d3a413_1a7722a0bcb9/metrics.json	101	64 8	1	0.9843754997898778	1.6906672277490287	0.5802121908597124	114.54490398418596	1066	3606	1.3694638440833224	2.00 1.50 1.20 1.05
00d7b1cf	ok	134543.7	134543.7	134573.0	-0.021772569534742006	22.114	0.9616873233311589	0.021772569534742006	0.021772569534742006	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_00d7b1cf_59e834185d79/metrics.json	22	512	0	0.12484288575553369	1.6282272116359582	1.441531006708303	104.24031508655371	783	3814	1.8604186605944584	2.50 1.75 1.25 1.08
00fbbafe	ok	133953.8	133953.8	134573.0	-0.4601220155603365	31.746	1.3805609915198955	0.11485029639755528	0.4601220155603365	0.3452717191627812	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_00fbbafe_eac0398c2c28/metrics.json	24	64 8	1	0.0455259027123264	0.09855232000114947	0.2592285817324874	124.47520777824238	591	488	1.8079332095036542	2.00 1.50 1.20 1.05
010caa4e	ok	134559.1	134559.1	134573.0	-0.010328966434570219	21.933	0.9538160469667318	0.010328966434570219	0.010328966434570219	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_010caa4e_d6fa831ac841/metrics.json	63	omit	0	0.039222401414849534	1.4729183719826877	1.256483208197593	46.437735076085374	1005	3884	1.6863456320250432	1.25 1.10 1.04
02afceae	ok	133813.6	133813.6	134573.0	-0.5643033892385502	30.879	1.3428571428571427	0.2632446495738929	0.5643033892385502	0.3010587396646573	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_02afceae_c7321ad1fd91/metrics.json	3	64 8	0	0.13968984805315027	1.723081229982842	1.3770986598376993	69.50670053780249	474	3474	1.8712259946290488	1.25 1.10 1.04
05b950c2	ok	133849.1	133849.1	134573.0	-0.537923654819313	31.489	1.3693846488367036	0.20569409217256845	0.537923654819313	0.3322295626467446	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_05b950c2_d224f0968402/metrics.json	54	64 8	0	0.4691836837784431	1.9561759977613122	0.4472456114512448	106.56382601158553	553	3781	1.1955288559701214	1.25 1.10 1.04
060ec54f	ok	133836.0	133836.0	134573.0	-0.5476581483655711	30.836	1.3409871711241572	0.24880826399008804	0.5476581483655711	0.2988498843754831	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_060ec54f_2c4a85fa0144/metrics.json	33	64 8	0	0.22265691445662314	0.38235178572227657	0.9166675042385657	111.24852989799149	847	923	1.91199503362155	1.25 1.10 1.04
065d66e6	ok	134499.9	134499.9	134573.0	-0.05431996017032081	22.433	0.9755599043270275	0.05431996017032081	0.05431996017032081	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_asap7_trial_065d66e6_0274b55de27a/metrics.json	56	512 64	0	0.6693229158176599	1.6414977054214808	1.3400568288472552	78.32066832458023	1117	3415	1.4491999535461646	1.04
