trial	status	score	hpwl_final	hpwl_ref	hpwl_delta_percent	runtime	runtime_ratio	gain_hr	hpwl_gain_percent	runtime_penalty_pp	legalize_exit_status	metrics_path	improve_random_seed	improve_max_displacement	improve_enable_extra_dpl	global_swap_tradeoff	global_swap_area_weight	global_swap_pin_weight	global_swap_congestion_user_weight	global_swap_sampling_moves	global_swap_normalization_interval	global_swap_profiling_excess	global_swap_budget_multipliers
011af5da	ok	466346.8	466346.8	467235.7	-0.19024659288663584	36.033	1.0759652423183734	0.19024659288663587	0.19024659288663587	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_011af5da_fe3736d9e821/metrics.json	102	64 8	1	0.014627149620036407	0.8704583147005954	0.9435120203272139	102.86976311205646	564	1712	1.99170113291103	2.50 1.75 1.25 1.08
01884322	ok	466848.9	466848.9	467235.7	-0.08278477008498887	37.532	1.120726208605811	0.05587016939454975	0.08278477008498887	0.02691460069043912	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_01884322_6b22a95f33d2/metrics.json	104	64	1	0.357917087106736	1.6325341551710166	0.7796811321456206	103.41013735221875	318	2607	1.872137852617783	2.50 1.75 1.25 1.08
01a6b20f	ok	466428.3	466428.3	467235.7	-0.17280357643904848	37.618	1.1232942160112278	0.14257160663920013	0.17280357643904848	0.030231969799848362	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_01a6b20f_7cc95370c834/metrics.json	103	64 8	1	0.07301018242993422	1.9961868269378535	1.7239298108138286	109.19425857927433	1152	2661	1.0495260496885508	1.50 1.25 1.10 1.04
01c0295b	ok	467196.7	467196.7	467235.7	-0.008346964925839357	35.692	1.0657827943503837	0.008346964925839357	0.008346964925839357	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_01c0295b_2652d7113b7b/metrics.json	81	128 16	1	0.12892854419731214	0.8644821832421176	1.5244812829462457	70.82148402287325	542	2142	1.790045833838262	omit
02a11611	ok	467084.7	467084.7	467235.7	-0.03231773599491648	40.258	1.2021260712472754	-0.0979658916117734	0.03231773599491648	0.13028362760668988	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_02a11611_adeb19b67f43/metrics.json	107	1024	1	0.24804769876089994	0.36300236725072577	1.233078676396799	75.05427677494262	194	3189	1.455997502442681	1.75 1.35 1.15 1.05
0393ebf4	ok	466762.5	466762.5	467235.7	-0.10127650776685336	37.851	1.1302517244468333	0.06207578819898943	0.10127650776685335	0.03920071956786392	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_0393ebf4_96dc047665de/metrics.json	31	64 8	1	0.491256236954046	0.30943288098341415	1.224521226794095	112.48452516550105	787	3774	1.6823084187108959	1.75 1.35 1.15 1.05
03c3f5a3	ok	466443.7	466443.7	467235.7	-0.16950759541704538	35.08	1.047508137000209	0.1695075954170454	0.1695075954170454	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_03c3f5a3_a077785ddbdb/metrics.json	31	64 8	1	0.04764093613656334	1.64323794935849	0.06216829417540459	80.0262335155553	806	3940	1.6508213514227605	2.00 1.50 1.20 1.05
0523131e	ok	467058.0	467058.0	467235.7	-0.03803219659799361	37.146	1.1092000358326617	0.02605421074884477	0.03803219659799361	0.011977985849148842	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_0523131e_96dd8961f9b9/metrics.json	71	128	1	0.10892236607732877	1.0785283164801032	0.2024396887148658	121.80353494906566	934	3469	1.9535276075201147	omit
05c25331	ok	467206.6	467206.6	467235.7	-0.006228119983133764	34.914	1.0425512854967305	0.006228119983133764	0.006228119983133764	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_05c25331_ee04809f09ac/metrics.json	9	1024 128	0	0.1973718252366972	1.449005938141223	1.986159014592596	120.803134726181	886	3396	1.848762647693211	2.00 1.50 1.20 1.05
06750e3b	ok	467196.6	467196.6	467235.7	-0.00836836740001565	37.483	1.1192630415957479	-0.01665440457668473	0.00836836740001565	0.02502277197670038	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/jpeg/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_jpeg_nangate45_trial_06750e3b_9f1cf7c04a84/metrics.json	44	256 32	1	0.04571766357769931	1.5752232427974717	0.8869353885017901	88.04762013990309	111	2766	1.2008317178859726	1.25 1.10 1.04
