trial	status	score	hpwl_final	hpwl_ref	hpwl_delta_percent	runtime	runtime_ratio	gain_hr	hpwl_gain_percent	runtime_penalty_pp	legalize_exit_status	metrics_path	improve_random_seed	improve_max_displacement	improve_enable_extra_dpl	global_swap_tradeoff	global_swap_area_weight	global_swap_pin_weight	global_swap_congestion_user_weight	global_swap_sampling_moves	global_swap_normalization_interval	global_swap_profiling_excess	global_swap_budget_multipliers
002048b6	ok	915927.5	915927.5	913899.8	0.22187333884961494	56.967	0.9930446606003556	-0.22187333884961494	-0.22187333884961494	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_002048b6_d084289fe04d/metrics.json	26	256 32	1	0.7039233482652326	1.7242324642167886	1.5648612031544606	48.82000019377509	796	186	1.7501942490770028	omit
013998b7	ok	913811.1	913811.1	913899.8	-0.009705659198094786	61.779	1.0769270996757663	0.009705659198094786	0.009705659198094786	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_013998b7_bc8dd8c881ce/metrics.json	19	1024	1	0.17863279735028045	0.8220703935559827	0.9195311251640249	98.34834780196434	556	1841	1.007084378195485	omit
01c9f6a7	ok	913911.7	913911.7	913899.8	0.0013021121133746684	57.97	1.010528884705226	-0.0013021121133746684	-0.0013021121133746684	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_01c9f6a7_006a748b6b95/metrics.json	35	512	1	0.6292622976475146	1.280786142011524	0.05766073531298089	132.95223415592065	78	3883	1.1608168536107824	1.75 1.35 1.15 1.05
01e16dea	ok	914080.1	914080.1	913899.8	0.01972863983556295	57.124	0.9957814733465816	-0.01972863983556295	-0.01972863983556295	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_01e16dea_c703cec07d9a/metrics.json	83	512	1	0.486259563739746	0.7989622151755247	0.08214746369055984	120.2628175573253	711	3593	1.238111567368026	1.25 1.10 1.04
01e6d2c2	ok	913838.3	913838.3	913899.8	-0.00672940293892175	63.372	1.104696161489384	0.0006090037027104197	0.00672940293892175	0.00612039923621133	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_01e6d2c2_80e2c1af8588/metrics.json	14	1024	1	0.5058685475826816	1.460580520389851	0.5354928778085888	124.65206431523559	81	2403	1.2409249244203537	2.00 1.50 1.20 1.05
03168cfd	ok	913983.7	913983.7	913899.8	0.00918043750528306	57.689	1.005630512847331	-0.009180437505283058	-0.009180437505283058	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_03168cfd_2dc517b8c004/metrics.json	19	512 64	0	0.651304332340991	1.407033976305306	1.2399695846609278	119.94228926040421	89	3104	1.731728600739527	1.04
051436f4	ok	915907.4	915907.4	913899.8	0.21967397301104305	60.169	1.0488616950807097	-0.21967397301104308	-0.21967397301104308	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_051436f4_d68c4a2295dc/metrics.json	16	256 32	1	0.7314288020527508	1.2890967853725304	1.7364602452086768	41.44819368557824	267	2053	1.2176278313467894	omit
05aa95a8	ok	914545.2	914545.2	913899.8	0.07062043344356862	67.139	1.1703622354704877	-0.1609968397477633	-0.07062043344356864	0.09037640630419466	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_05aa95a8_2b7e9be9fd53/metrics.json	3	128	1	0.6412835469327307	1.551595026993422	0.07697500671241135	121.10813540353575	238	1733	1.1802566259693488	1.50 1.25 1.10 1.04
087e2a63	ok	913811.1	913811.1	913899.8	-0.009705659198094786	58.336	1.0169089704703134	0.009705659198094786	0.009705659198094786	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_087e2a63_2ab737b64f2a/metrics.json	19	1024	1	0.7380814359544697	1.3203073477119662	0.6586996007905567	104.26079258040807	399	2894	1.1581777642815916	1.50 1.25 1.10 1.04
0892b8e1	ok	914128.2	914128.2	913899.8	0.024991798882099205	60.878	1.0612209322595265	-0.024991798882099202	-0.024991798882099202	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_0892b8e1_5a3c7acf954e/metrics.json	30	1024	0	0.46280678316421564	1.810459352306792	0.5258294740408864	134.93742167200693	97	3471	1.0099943284356891	1.75 1.35 1.15 1.05
