trial	status	score	hpwl_final	hpwl_ref	hpwl_delta_percent	runtime	runtime_ratio	gain_hr	hpwl_gain_percent	runtime_penalty_pp	legalize_exit_status	metrics_path	improve_random_seed	improve_max_displacement	improve_enable_extra_dpl	global_swap_tradeoff	global_swap_area_weight	global_swap_pin_weight	global_swap_congestion_user_weight	global_swap_sampling_moves	global_swap_normalization_interval	global_swap_profiling_excess	global_swap_budget_multipliers
00206c58	ok	3277368.7	3277368.7	3267840.1	0.2915870944848279	35.295	1.0395252260477719	-0.29158709448482784	-0.29158709448482784	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_00206c58_7830cc4c16dd/metrics.json	93	32	1	0.6747822740192727	0.39662281633649554	0.5490954265365378	50.58405745762291	104	1438	1.8736004404008846	1.25 1.10 1.04
003dec8c	ok	3268339.3	3268339.3	3267840.1	0.015276145243450577	35.933	1.058315907283598	-0.015276145243450577	-0.015276145243450577	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_003dec8c_a6efb78f6b79/metrics.json	55	512	0	0.5557432427498099	0.4414113156652736	1.5343437064931236	0.6068945468056111	632	3865	1.5044644103220741	1.25 1.10 1.04
018f3525	ok	3267634.6	3267634.6	3267840.1	-0.006288557386880711	37.021	1.0903602038111506	0.006288557386880711	0.006288557386880711	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_018f3525_dbadbe67c4b0/metrics.json	113	omit	1	0.9611109454034124	0.18441610685952572	1.9773705038485907	13.12280924695694	450	3488	1.8873146616585956	2.00 1.50 1.20 1.05
01a72f04	ok	3265675.6	3265675.6	3267840.1	-0.06623641101656107	35.959	1.0590816717226754	0.06623641101656105	0.06623641101656105	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_01a72f04_a85f41cff5dd/metrics.json	30	512	0	0.6926862199416013	0.40417851068372834	1.9520946646918416	69.6212141158632	1121	966	1.464034480108564	2.00 1.50 1.20 1.05
01d13b59	ok	3267371.1	3267371.1	3267840.1	-0.014351987418233835	37.139	1.0938355962654258	0.014351987418233835	0.014351987418233835	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_01d13b59_8132e095034c/metrics.json	87	omit	0	0.9484441519921689	0.349228699845772	1.8282011287371673	48.27910369962295	170	2702	1.6379956772370567	omit
020d84e4	ok	3266335.3	3266335.3	3267840.1	-0.04604876474832044	39.563	1.1652284039701941	-0.037827027750511374	0.04604876474832044	0.08387579249883181	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_020d84e4_654e6421ed5e/metrics.json	37	omit	0	0.34370656858613763	0.3672345380441716	1.5536754135116708	10.95412458021711	279	2248	1.4077764365442862	1.50 1.25 1.10 1.04
02718dab	ok	3266543.7	3266543.7	3267840.1	-0.03967146372920471	39.426	1.1611934144258238	-0.039085045021070235	0.03967146372920471	0.07875650875027494	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_02718dab_f5f72b3cc5a9/metrics.json	44	omit	1	0.8760798719140781	0.05683192812248284	1.7435845234913099	95.94865591532219	829	1964	1.1834761258402768	omit
028f5a29	ok	3266574.4	3266574.4	3267840.1	-0.038732005277742516	38.963	1.1475569169145583	-0.022657411581363508	0.038732005277742516	0.061389416859106025	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_028f5a29_eaf6b0e72a20/metrics.json	56	omit	0	0.36966687446930885	0.02142850190129933	1.9499745933873696	117.06384092433319	606	2515	1.1655811793111701	omit
02b53beb	ok	3267584.4	3267584.4	3267840.1	-0.007824740261929777	38.813	1.1431390451506493	-0.047916081580762035	0.007824740261929777	0.055740821842691815	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_02b53beb_6275993d98f2/metrics.json	79	omit	1	0.7227739746136544	0.2091453562465087	1.7258253034592852	99.13897847121615	803	1406	1.0362009978815332	omit
035d9e8a	ok	3267165.4	3267165.4	3267840.1	-0.020646665055618428	38.542	1.1351574234971873	-0.02486128479553102	0.020646665055618428	0.04550794985114945	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_035d9e8a_a95169c3f3c0/metrics.json	120	512	1	0.9873951395066206	0.8128666994433433	1.1720950237644088	1.010531539531184	275	3617	1.5276105644154587	2.00 1.50 1.20 1.05
04166569	ok	3267528.8	3267528.8	3267840.1	-0.009526169900426871	40.795	1.2015138573910995	-0.11999330648860176	0.009526169900426871	0.12951947638902864	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_04166569_59f7a9d48c4c/metrics.json	19	omit	1	0.45279357600646447	0.4987218245489678	0.9451137119313904	11.12168747318892	225	2619	1.0158485305192844	omit
056aa563	ok	3265446.6	3265446.6	3267840.1	-0.07324409783697801	37.227	1.0964274143669188	0.07324409783697801	0.07324409783697801	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_056aa563_5a05f4cbeb10/metrics.json	46	omit	1	0.5802199169021791	0.44542087632408234	1.5876512982905253	12.664986892021789	177	2532	1.10772421969653	omit
065945ed	ok	3271715.0	3271715.0	3267840.1	0.1185767932769999	38.246	1.1264394898830736	-0.15286668673102916	-0.1185767932769999	0.03428989345402927	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_065945ed_5c7d2eec6ca5/metrics.json	60	64	0	0.40902027407622943	0.09671812966852608	1.9911554954052884	110.72291200120632	563	1599	1.0384915373564374	1.10 1.04
06cc315b	ok	3268394.1	3268394.1	3267840.1	0.016953093879960652	39.472	1.1625482284334225	-0.09742947663512272	-0.01695309387996065	0.08047638275516207	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_06cc315b_1d16ade8d853/metrics.json	11	omit	1	0.8252444402257731	0.4184758681810098	1.956775454025408	98.20652387651904	809	2143	1.2300312014006733	omit
07442226	ok	3275445.3	3275445.3	3267840.1	0.23272864544381225	42.773	1.2597708597178452	-0.4341116412481672	-0.23272864544381228	0.20138299580435493	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_07442226_abb21ddf96bb/metrics.json	128	256 32	1	0.9756765559057823	0.11201799710374033	1.62809078687429	3.583234629950038	129	2032	1.7214434167469954	2.00 1.50 1.20 1.05
088c5b28	ok	3267203.3	3267203.3	3267840.1	-0.019486877586216023	39.557	1.1650516890996376	-0.06416489847285384	0.019486877586216027	0.08365177605906987	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_088c5b28_0c7d8cea2ad4/metrics.json	35	omit	1	0.5698440992275604	0.7232027033140934	1.9229532568069345	27.654302073819533	1068	608	1.8131921976930563	omit
09fd7183	ok	3266008.6	3266008.6	3267840.1	-0.056046193937090136	36.097	1.0631461137454716	0.05604619393709013	0.05604619393709013	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_09fd7183_8d79c95a3e83/metrics.json	40	omit	1	0.7089206513857517	1.1849130462045223	1.685932598024448	34.05874152007727	186	2261	1.0900403595827848	1.25 1.10 1.04
0a2bbf72	ok	3269776.4	3269776.4	3267840.1	0.05925320519813114	36.568	1.0770182310841456	-0.05925320519813113	-0.05925320519813113	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_0a2bbf72_283ae583ef6c/metrics.json	44	128	0	0.5396942225683047	0.6946585113715569	1.9105425980525	65.341458364975	440	411	1.2542461387570227	1.50 1.25 1.10 1.04
0a97be55	ok	3276432.8	3276432.8	3267840.1	0.26294738227857967	36.398	1.0720113097517157	-0.26294738227857967	-0.26294738227857967	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/nangate45/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_nangate45_trial_0a97be55_4d62c374084e/metrics.json	30	128 16	1	0.2670861951723001	0.47296380817683525	1.2970783194132616	28.92293112409568	353	2305	1.2308361797648901	1.50 1.25 1.10 1.04
