case	case_label	iteration	best_so_far_hpwl_micron	best_so_far_delta_hpwl_percent	best_so_far_reduction_percent
aes_asap7	AES ASAP7	0	42207.8	-0.0	0.0
aes_asap7	AES ASAP7	1	41795.6	-0.97659674278215	0.97659674278215
aes_asap7	AES ASAP7	2	41701.0	-1.200725932173681	1.200725932173681
aes_asap7	AES ASAP7	3	41569.2	-1.5129904899094617	1.5129904899094617
aes_asap7	AES ASAP7	4	41569.2	-1.5129904899094617	1.5129904899094617
aes_asap7	AES ASAP7	5	41567.6	-1.5167812584403932	1.5167812584403932
aes_asap7	AES ASAP7	6	41558.5	-1.538341254460083	1.538341254460083
aes_asap7	AES ASAP7	7	41550.3	-1.5577689431811181	1.5577689431811181
aes_asap7	AES ASAP7	8	41522.3	-1.6241073924724814	1.6241073924724814
aes_asap7	AES ASAP7	9	41522.3	-1.6241073924724814	1.6241073924724814
aes_asap7	AES ASAP7	10	41399.7	-1.9145750311553926	1.9145750311553926
aes_nangate45	AES N45	0	176845.1	-0.0	0.0
aes_nangate45	AES N45	1	175501.0	-0.7600436766413126	0.7600436766413126
aes_nangate45	AES N45	2	175074.1	-1.0014413744005346	1.0014413744005346
aes_nangate45	AES N45	3	174208.2	-1.491078915955259	1.491078915955259
aes_nangate45	AES N45	4	174208.2	-1.491078915955259	1.491078915955259
aes_nangate45	AES N45	5	174192.0	-1.5002394751112729	1.5002394751112729
aes_nangate45	AES N45	6	174182.4	-1.5056679546111322	1.5056679546111322
aes_nangate45	AES N45	7	173597.2	-1.8365790174565164	1.8365790174565164
aes_nangate45	AES N45	8	173565.7	-1.8543912158154192	1.8543912158154192
aes_nangate45	AES N45	9	173558.7	-1.8583494821173976	1.8583494821173976
aes_nangate45	AES N45	10	170356.8	-3.668917035303787	3.668917035303787
ariane133_nangate45	Ariane133 N45	0	5784913.3	-0.0	0.0
ariane133_nangate45	Ariane133 N45	1	5472534.4	-5.399889052788388	5.399889052788388
ariane133_nangate45	Ariane133 N45	2	5468010.8	-5.478085557479314	5.478085557479314
ariane133_nangate45	Ariane133 N45	3	5467461.1	-5.48758786065126	5.48758786065126
ariane133_nangate45	Ariane133 N45	4	5467102.5	-5.493786743528202	5.493786743528202
ariane133_nangate45	Ariane133 N45	5	5467028.7	-5.495062475698636	5.495062475698636
ariane133_nangate45	Ariane133 N45	6	5467028.7	-5.495062475698636	5.495062475698636
ariane133_nangate45	Ariane133 N45	7	5466785.9	-5.499259599966683	5.499259599966683
ariane133_nangate45	Ariane133 N45	8	5466785.9	-5.499259599966683	5.499259599966683
ariane133_nangate45	Ariane133 N45	9	5466762.9	-5.499657185873459	5.499657185873459
ariane133_nangate45	Ariane133 N45	10	5466760.0	-5.499707316270407	5.499707316270407
ibex_asap7	Ibex ASAP7	0	63342.0	-0.0	0.0
ibex_asap7	Ibex ASAP7	1	63250.0	-0.14524328249818447	0.14524328249818447
ibex_asap7	Ibex ASAP7	2	63189.9	-0.24012503552145267	0.24012503552145267
ibex_asap7	Ibex ASAP7	3	63189.9	-0.24012503552145267	0.24012503552145267
ibex_asap7	Ibex ASAP7	4	62988.8	-0.5576079062865036	0.5576079062865036
ibex_asap7	Ibex ASAP7	5	62972.1	-0.583972719522594	0.583972719522594
ibex_asap7	Ibex ASAP7	6	62971.0	-0.5857093239872438	0.5857093239872438
ibex_asap7	Ibex ASAP7	7	62971.0	-0.5857093239872438	0.5857093239872438
ibex_asap7	Ibex ASAP7	8	62962.4	-0.5992864134381588	0.5992864134381588
ibex_asap7	Ibex ASAP7	9	62962.4	-0.5992864134381588	0.5992864134381588
ibex_asap7	Ibex ASAP7	10	62962.4	-0.5992864134381588	0.5992864134381588
ibex_nangate45	Ibex N45	0	200130.4	-0.0	0.0
ibex_nangate45	Ibex N45	1	199579.1	-0.27547039330356027	0.27547039330356027
ibex_nangate45	Ibex N45	2	199579.1	-0.27547039330356027	0.27547039330356027
ibex_nangate45	Ibex N45	3	199577.2	-0.27641977430714304	0.27641977430714304
ibex_nangate45	Ibex N45	4	199543.6	-0.29320882784423974	0.29320882784423974
ibex_nangate45	Ibex N45	5	199016.1	-0.5567869748923644	0.5567869748923644
ibex_nangate45	Ibex N45	6	198289.4	-0.9199002250532653	0.9199002250532653
ibex_nangate45	Ibex N45	7	198289.4	-0.9199002250532653	0.9199002250532653
ibex_nangate45	Ibex N45	8	198289.4	-0.9199002250532653	0.9199002250532653
ibex_nangate45	Ibex N45	9	198179.9	-0.9746145513125443	0.9746145513125443
ibex_nangate45	Ibex N45	10	198153.7	-0.9877060156777694	0.9877060156777694
jpeg_asap7	JPEG ASAP7	0	134573.0	-0.0	0.0
jpeg_asap7	JPEG ASAP7	1	133392.0	-0.8775906013836356	0.8775906013836356
jpeg_asap7	JPEG ASAP7	2	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	3	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	4	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	5	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	6	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	7	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	8	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	9	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_asap7	JPEG ASAP7	10	133313.0	-0.9362947991053183	0.9362947991053183
jpeg_nangate45	JPEG N45	0	467235.7	-0.0	0.0
jpeg_nangate45	JPEG N45	1	459654.2	-1.622628579109002	1.622628579109002
jpeg_nangate45	JPEG N45	2	459654.2	-1.622628579109002	1.622628579109002
jpeg_nangate45	JPEG N45	3	459654.2	-1.622628579109002	1.622628579109002
jpeg_nangate45	JPEG N45	4	459639.7	-1.625731937863481	1.625731937863481
jpeg_nangate45	JPEG N45	5	459636.7	-1.6263740120885455	1.6263740120885455
jpeg_nangate45	JPEG N45	6	459636.7	-1.6263740120885455	1.6263740120885455
jpeg_nangate45	JPEG N45	7	459636.7	-1.6263740120885455	1.6263740120885455
jpeg_nangate45	JPEG N45	8	459636.7	-1.6263740120885455	1.6263740120885455
jpeg_nangate45	JPEG N45	9	459636.5	-1.6264168170368856	1.6264168170368856
jpeg_nangate45	JPEG N45	10	459636.5	-1.6264168170368856	1.6264168170368856
swerv_wrapper_asap7	SWERV ASAP7	0	913899.8	-0.0	0.0
swerv_wrapper_asap7	SWERV ASAP7	1	913589.1	-0.03399716248981232	0.03399716248981232
swerv_wrapper_asap7	SWERV ASAP7	2	911289.8	-0.28558929545667916	0.28558929545667916
swerv_wrapper_asap7	SWERV ASAP7	3	911289.8	-0.28558929545667916	0.28558929545667916
swerv_wrapper_asap7	SWERV ASAP7	4	911152.2	-0.3006456506501143	0.3006456506501143
swerv_wrapper_asap7	SWERV ASAP7	5	911152.2	-0.3006456506501143	0.3006456506501143
swerv_wrapper_asap7	SWERV ASAP7	6	911079.8	-0.30856774451641195	0.30856774451641195
swerv_wrapper_asap7	SWERV ASAP7	7	911043.9	-0.3124959650937688	0.3124959650937688
swerv_wrapper_asap7	SWERV ASAP7	8	910876.8	-0.3307802452741537	0.3307802452741537
swerv_wrapper_nangate45	SWERV N45	0	3267840.1	-0.0	0.0
swerv_wrapper_nangate45	SWERV N45	1	3265344.1	-0.07638072621729564	0.07638072621729564
swerv_wrapper_nangate45	SWERV N45	2	3265344.1	-0.07638072621729564	0.07638072621729564
swerv_wrapper_nangate45	SWERV N45	3	3265344.1	-0.07638072621729564	0.07638072621729564
swerv_wrapper_nangate45	SWERV N45	4	3265290.5	-0.07802095335081093	0.07802095335081093
swerv_wrapper_nangate45	SWERV N45	5	3252530.1	-0.4685051756357356	0.4685051756357356
swerv_wrapper_nangate45	SWERV N45	6	3252110.4	-0.4813485213061736	0.4813485213061736
swerv_wrapper_nangate45	SWERV N45	7	3251810.1	-0.4905380774291863	0.4905380774291863
swerv_wrapper_nangate45	SWERV N45	8	3251810.1	-0.4905380774291863	0.4905380774291863
