program	discovery_case	target_case	status	default_hpwl	candidate_hpwl	delta_hpwl_percent	default_runtime_s	candidate_runtime_s	runtime_ratio	score	results_tsv
P_aes_asap7	aes_asap7	aes_asap7	PASS	42207.8	41615.0	-1.404	5.330	8.517	1.598	0.815	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	aes_nangate45	PASS	176845.1	178358.0	+0.855	6.030	8.107	1.344	-1.158	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	ariane133_nangate45	PASS	5784913.3	5693257.2	-1.584	151.252	106.874	0.707	1.584	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	ibex_asap7	PASS	63342.0	63043.9	-0.471	6.905	10.791	1.563	-0.080	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	ibex_nangate45	PASS	200130.4	199410.8	-0.360	5.051	6.620	1.311	0.097	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	jpeg_asap7	PASS	134573.0	133656.1	-0.681	22.995	30.443	1.324	0.403	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	jpeg_nangate45	PASS	467235.7	467161.3	-0.016	33.489	31.304	0.935	0.016	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	swerv_wrapper_asap7	PASS	913899.8	912946.5	-0.104	57.366	65.785	1.147	0.044	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_asap7	aes_asap7	swerv_wrapper_nangate45	PASS	3267840.1	3276091.3	+0.252	33.953	53.382	1.572	-0.814	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_asap7/results.tsv
P_aes_nangate45	aes_nangate45	aes_asap7	PASS	42207.8	41314.1	-2.117	5.330	13.244	2.485	0.674	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_aes_nangate45	aes_nangate45	aes_nangate45	PASS	176845.1	170356.8	-3.669	6.030	11.273	1.869	2.797	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_aes_nangate45	aes_nangate45	ariane133_nangate45	PASS	5784913.3	5429583.3	-6.142	151.252	198.918	1.315	5.874	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
